Carimbo de data/hora;Qual sua faixa etária?;Qual seu nível de escolaridade?;Qual sua renda familiar mensal?;A sua última viagem intermunicipal (entre municípios) foi:;A viagem foi realizada em qual período do dia?;Qual o motivo da viagem?;Motivo Agrupado;Qual o município de ORIGEM;Qual o município de DESTINO;Qual foi o principal meio de transporte que você usou?;Modal Agrupado;Quanto tempo durou a viagem?;Com que frequência você faz essa viagem?
2025/03/15 5:59:29 AM GMT-3;45 a 59 anos;Ensino Superior incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;FORA DA RMGSL;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;Todos os dias
2025/03/15 8:52:49 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;FORA DA RMGSL;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 9:21:20 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Compras e serviços;Compras e serviços;Cachoeira Grande;Presidente Juscelino ;Ônibus;Ônibus;Entre 30 e 60 minutos;Muito raramente
2025/03/15 9:22:22 AM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 15 e 30 minutos;Todos os dias
2025/03/15 9:23:49 AM GMT-3;25 a 34 anos;Ensino Médio completo;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Moto própria;Moto própria;Entre 15 e 30 minutos;Todos os dias
2025/03/15 10:18:46 AM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Solicitação de documento na prefeitura;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/03/15 10:21:58 AM GMT-3;25 a 34 anos;Ensino Médio incompleto;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Lazer;Lazer;São Luís;Raposa;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/03/15 10:54:52 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Raposa;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/15 12:13:22 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Necessidades;Trabalho;São Luís;Raposa;Transporte alternativo - Van;Transporte Alternativo;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/15 12:18:14 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Raposa;Ônibus;Ônibus;Entre 15 e 30 minutos;3 a 5 vezes por semana
2025/03/15 12:22:24 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Raposa;Ônibus;Ônibus;Entre 15 e 30 minutos;Todos os dias
2025/03/15 12:27:08 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;Bacabeira;Rosário;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:28:34 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Cachoeira Grande;Rosário;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 12:30:30 PM GMT-3;18 a 24 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Cachoeira Grande;Rosário;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:39:37 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Morros;Rosário;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 12:49:56 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Paço do Lumiar;Rosário;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/15 12:58:32 PM GMT-3;Menos de 18 anos;Ensino Médio incompleto;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;Presidente Juscelino;Rosário;Ônibus;Ônibus;Entre 15 e 30 minutos;3 a 5 vezes por semana
2025/03/15 1:59:27 PM GMT-3;45 a 59 anos;Ensino Médio completo;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;Presidente Juscelino;Rosário;Transporte por aplicativo (Uber, 99);Transporte por Aplicativo;Mais de 2 horas;1 a 3 vezes por mês
2025/03/15 3:53:53 PM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Santa Rita;Rosário;Carro próprio;Carro próprio;Entre 30 e 60 minutos;1 a 2 vezes por semana
2025/03/15 3:55:55 PM GMT-3;45 a 59 anos;Ensino Superior incompleto;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;Santa Rita;Rosário;Carro próprio;Carro próprio;Mais de 2 horas;1 a 3 vezes por mês
2025/03/15 4:01:14 PM GMT-3;Menos de 18 anos;Ensino Fundamental completo;Até 1 salário mínimo;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Estudo;Estudo;São Luís;Rosário;Ônibus;Ônibus;Entre 30 e 60 minutos;Todos os dias
2025/03/15 4:06:15 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Rosário;Carro próprio;Carro próprio;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 4:20:12 PM GMT-3;35 a 44 anos;Ensino Médio incompleto;Até 1 salário mínimo;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Rosário;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/03/15 4:39:00 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Rosário;Carro próprio;Carro próprio;Entre 15 e 30 minutos;Todos os dias
2025/03/15 4:41:15 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Compras e serviços;Compras e serviços;São Luís;Rosário;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/15 4:59:39 PM GMT-3;60 anos ou mais;Ensino Superior incompleto;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;Rosário;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/15 5:07:29 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Rosário;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/15 6:45:10 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Rosário;Barco/Lancha;Transporte Aquaviário;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/15 7:06:18 PM GMT-3;35 a 44 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;Rosário;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/15 8:09:42 PM GMT-3;45 a 59 anos;Ensino Médio completo;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Compras e serviços;Compras e serviços;São Luís;Rosário;Carro próprio;Carro próprio;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/15 8:55:59 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho, estudo, saúde,lazer, compras e serviços, visita a amigos e familiares ;Trabalho;São Luís;FORA DA RMGSL;Ônibus, aplicativo, transporte alternativo van;Transporte Alternativo;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/16 8:15:10 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;Santa Inês ;Carona com alguém;Carona com alguém;Mais de 2 horas;1 a 3 vezes por mês
2025/03/16 8:17:55 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Santa Inês ;Transporte por aplicativo (Uber, 99);Transporte por Aplicativo;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/16 8:19:27 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Visita a amigos/familiares;Visita a amigos/familiares;Cachoeira Grande;Santa Rita;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/16 8:21:21 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;Santa Rita;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/16 8:24:35 AM GMT-3;45 a 59 anos;Ensino Médio completo;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;FORA DA RMGSL;Carro próprio;Carro próprio;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/16 8:29:13 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);FORA DA RMGSL;FORA DA RMGSL;Ônibus;Ônibus;Mais de 2 horas;1 a 3 vezes por mês
2025/03/16 8:46:02 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Lazer;Lazer;São José de Ribamar;FORA DA RMGSL;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/03/16 9:36:20 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;Paço do Lumiar;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/16 11:19:30 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;Paço do Lumiar;São José de Ribamar;Carro próprio;Carro próprio;Entre 30 e 60 minutos;1 a 3 vezes por mês
2025/03/16 12:16:55 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Tarde (12h - 18h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São José de Ribamar;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/16 1:00:33 PM GMT-3;60 anos ou mais;Ensino Médio completo;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/16 2:34:12 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São José de Ribamar;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/16 2:40:19 PM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Estudo;Estudo;São Luís;São José de Ribamar;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/16 4:52:25 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/16 5:34:49 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;3 a 5 vezes por semana
2025/03/16 6:07:32 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Ônibus;Ônibus;Mais de 2 horas;1 a 3 vezes por mês
2025/03/16 9:07:35 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Ônibus;Ônibus;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/17 7:07:55 AM GMT-3;60 anos ou mais;Ensino Superior completo ou mais;Prefiro não dizer;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/17 7:13:26 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Transporte alternativo - Van;Transporte Alternativo;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/17 8:44:20 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Ônibus;Ônibus;Entre 1 e 2 horas;1 a 2 vezes por semana
2025/03/17 11:05:16 AM GMT-3;18 a 24 anos;Ensino Superior completo ou mais;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Ônibus;Ônibus;Mais de 2 horas;1 a 3 vezes por mês
2025/03/17 11:10:16 AM GMT-3;18 a 24 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Madrugada (00h - 5h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;1 a 3 vezes por mês
2025/03/17 2:21:45 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/17 3:39:47 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/17 5:53:00 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;3 a 5 vezes por semana
2025/03/17 8:29:10 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 1 e 2 horas;1 a 3 vezes por mês
2025/03/17 8:54:38 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;1 a 3 vezes por mês
2025/03/17 9:56:18 PM GMT-3;35 a 44 anos;Ensino Superior incompleto;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Saúde (consultas médicas, exames);Saúde (consultas médicas, exames);São Luís;São José de Ribamar;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/03/18 9:31:59 AM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Ônibus;Ônibus;Entre 1 e 2 horas;Todos os dias
2025/03/18 12:41:14 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Ônibus;Ônibus;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/18 1:46:47 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Prefiro não dizer;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;São José de Ribamar;Carona com alguém;Carona com alguém;Entre 1 e 2 horas;Muito raramente
2025/03/18 4:38:00 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 30 e 60 minutos;Muito raramente
2025/03/19 12:08:57 PM GMT-3;18 a 24 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;São Luís;São José de Ribamar;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/03/20 11:00:28 AM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Entre 30 e 60 minutos;3 a 5 vezes por semana
2025/03/20 11:40:02 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carona com alguém;Carona com alguém;Mais de 2 horas;Muito raramente
2025/03/21 5:24:56 AM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Tarde (12h - 18h);Trabalho;Trabalho;São Luís;São José de Ribamar;Ferry boat ;Transporte Aquaviário;Mais de 2 horas;1 a 2 vezes por semana
2025/03/21 4:37:19 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Visita a amigos/familiares;Visita a amigos/familiares;São Luís;São José de Ribamar;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
2025/03/22 6:56:50 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Acima de 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;São Luís;São José de Ribamar;Carro próprio;Carro próprio;Mais de 2 horas;1 a 2 vezes por semana
2025/03/22 7:03:58 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 1 e 2 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Lazer;Lazer;Alcântara;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/03/22 7:05:49 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Madrugada (00h - 5h);Trabalho;Trabalho;FORA DA RMGSL;São Luís;Transporte alternativo - Van;Transporte Alternativo;Mais de 2 horas;Muito raramente
2025/03/22 7:06:24 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;Cachoeira Grande;São Luís;Carro próprio;Carro próprio;Entre 1 e 2 horas;Muito raramente
2025/03/22 7:08:51 PM GMT-3;25 a 34 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Rotineira (faço regularmente, como trabalho ou estudo);Manhã (5h - 12h);Trabalho;Trabalho;Cachoeira Grande;São Luís;Viatura;Viatura;Mais de 2 horas;Muito raramente
2025/03/22 7:14:30 PM GMT-3;45 a 59 anos;Ensino Superior completo ou mais;Entre 4 e 10 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Manhã (5h - 12h);Lazer;Lazer;Cachoeira Grande;São Luís;Carro próprio;Carro próprio;Mais de 2 horas;Muito raramente
2025/03/22 7:16:20 PM GMT-3;35 a 44 anos;Ensino Superior completo ou mais;Entre 2 e 4 salários mínimos;Pontual (evento esporádico, como consulta médica, lazer, etc.);Noite (18h - 00h);Visita a amigos/familiares;Visita a amigos/familiares;Cachoeira Grande;São Luís;Ônibus;Ônibus;Mais de 2 horas;Muito raramente
